IDENTIFICADOR,NOMBRE_OBRA,BLOQUE_MUNDIAL,CLAVE_EJE,NOMBRE_EJE,PROGRAMA,CLAVE_PROGRAMA,DG,ORIGEN DEL COMPROMISO,YEAR,FECHA ACTUALIZACION,USUARIO ACTUALIZACION,FECHA INAUGURACION,MOTIVO CANCELACION,ESTATUS,AVANCE REAL,RESPONSABLE_DG,TIPO,SUPERFICIE_M2,MATERIAL,OBSERVACIONES,SEGUIMIENTO,geom,URL DE GOOGLE MAPS,CALLE/DOMICILIO,ALCALDIA,COLONIA,clave_unica,id,estatus_registro,motivo_baja,observaciones_baja,fecha_baja,usuario_baja,creado_por,fecha_creacion
81,NUMERO 17 BEETHOVEN,,ECONOMIA,OBRAS QUE TRANSFORMAN LA ECONOMIA LOCAL Y FOMENTAN EL EMPLEO,MANTENIMIENTO A MERCADOS PUBLICOS,MTTO_MERCADOS,DGCOP,GABINETE,2025,2026-06-10 17:52:10.219,actualizacion_dgcop,,,EN PROCESO,88.0,PAULA LOPEZ,MERCADO,,,,DGCOP,0101000020E6100000703E75AC52C858C0D1B01875AD753340,,ADELINA PATTI,CUAUHTÉMOC,PERALVILLO II,PLATSOBSE_DGCOP_MTTO_MERCADOS_NUMERO_17_BEETHOVEN_81,3461,ACTIVO,,,,,,
09DPR0954J,AMERICAS UNIDAS,,ESPACIO_PUBLICO,OBRAS QUE TRANSFORMAN EL ESPACIO PUBLICO Y CONTRIBUYEN AL DERECHO A LA CIUDAD,"1,2,3 POR MI ESCUELA RENOVAR PARA TRANSFORMAR","1,2,3_ESCUELAS",DGCOP,CASA POR CASA,2025,2026-06-10 17:56:43.639,actualizacion_dgcop,,,EN PROCESO,85.92,PAULA LOPEZ,PRIMARIA,,,,DGCOP,0101000020E61000009D64ABCB29C658C05E9CF86A47713340,https://maps.app.goo.gl/FQ3NVdxy4RZg4xVY7,MARRUECOS,VENUSTIANO CARRANZA,ROMERO RUBIO,PLATSOBSE_DGCOP_1_2_3_ESCUELAS_AMERICAS_UNIDAS_09DPR0954J_09DPR0954J,2773,ACTIVO,,,,,,
80,MORELOS,,ECONOMIA,OBRAS QUE TRANSFORMAN LA ECONOMIA LOCAL Y FOMENTAN EL EMPLEO,MANTENIMIENTO A MERCADOS PUBLICOS,MTTO_MERCADOS,DGCOP,GABINETE,2025,2026-06-10 17:46:14.553,actualizacion_dgcop,,,EN PROCESO,97.0,PAULA LOPEZ,MERCADO,,,,DGCOP,0101000020E610000003ECA35357C758C04EECA17DAC703340,,AV. CIRCUNVALACION,VENUSTIANO CARRANZA,MORELOS II,PLATSOBSE_DGCOP_MTTO_MERCADOS_MORELOS_80,3448,ACTIVO,,,,,,
09DPR1699P,LUIS R. ALARCON,,ESPACIO_PUBLICO,OBRAS QUE TRANSFORMAN EL ESPACIO PUBLICO Y CONTRIBUYEN AL DERECHO A LA CIUDAD,"1,2,3 POR MI ESCUELA RENOVAR PARA TRANSFORMAR","1,2,3_ESCUELAS",DGCOP,JEFA DE GOBIERNO,2025,2026-05-20 16:13:18.323,actualizacion_dgcop,,,TERMINADO,100.0,PAULA LOPEZ,PRIMARIA,,,,DGCOP,0101000020E6100000CBBC55D7A1CC58C09E0B23BDA85D3340,https://maps.app.goo.gl/HUyo2sLsiwyiy3nz8,AV. CENTENARIO,ÁLVARO OBREGÓN,MERCED GOMEZ,PLATSOBSE_DGCOP_1_2_3_ESCUELAS_LUIS_R_ALARCON_09DPR1699P_09DPR1699P,2865,ACTIVO,,,,,,
111,111 CANCHA AV. JALISCO,13.0,GRANDES_OBRAS,GRANDES OBRAS QUE TRANSFORMAN LA CAPITAL,EL BALON VUELVE AL BARRIO,BALON_BARRIO,DGSUS,OBRAS DEL MUNDIAL,2026,2026-05-20 17:01:56.669,admin,2026-01-04,,INAUGURADA,100.0,PAULA LOPEZ,FUTBOL RAPIDO,1200.0,CONCRETO,,DGPEST,0101000020E61000003FC6DCB584C458C0BDC62E51BD5D3340,https://maps.app.goo.gl/ugpRdkpNt6powNU67,"LEYES DE REFORMA 2DA SECC, IZTAPALAPA, 09310 CIUDAD DE MÉXICO, CDMX",IZTAPALAPA,LEYES DE REFORMA 2DA SECCION,PLATSOBSE_DGSUS_BALON_BARRIO_111_CANCHA_AV_JALISCO_111,2599,ACTIVO,,,,,,
122,122 PILARES SANTA MARIA AZTAHUACAN,13.0,GRANDES_OBRAS,GRANDES OBRAS QUE TRANSFORMAN LA CAPITAL,EL BALON VUELVE AL BARRIO,BALON_BARRIO,DGSUS,OBRAS DEL MUNDIAL,2026,2026-05-20 17:03:45.192,admin,2026-03-31,,INAUGURADA,100.0,PAULA LOPEZ,FUTBOL RAPIDO,1200.0,CONCRETO,,DGPEST,0101000020E61000003C1405FA44C258C09B046F48A35A3340,https://maps.app.goo.gl/vxbXKq8TP94a6y187,"C. AQUILES SERDÁN, ZONA URBANA EJIDAL SANTA MARÍA AZTAHUACAN, IZTAPALAPA, 09570 CIUDAD DE MÉXICO, CDMX",IZTAPALAPA,SANTA MARIA AZTAHUACAN,PLATSOBSE_DGSUS_BALON_BARRIO_122_PILARES_SANTA_MARIA_AZTAHUACAN_122,2600,ACTIVO,,,,,,
124,124 EL COLISEO,13.0,GRANDES_OBRAS,GRANDES OBRAS QUE TRANSFORMAN LA CAPITAL,EL BALON VUELVE AL BARRIO,BALON_BARRIO,DGSUS,OBRAS DEL MUNDIAL,2026,,,,,INAUGURADA,100.0,PAULA LOPEZ,FUTBOL 7,1750.0,PASTO SINTETICO,,DGPEST,0101000020E61000006D567DAEB6C058C0F0164850FC603340,https://maps.app.goo.gl/15wyEziKVyTYp9oQ9,"AV. TEXCOCO MZ 192-LT 1, ZONA URBANA EJIDAL SANTA MARTHA ACATITLA NTE., IZTAPALAPA, 09140 CIUDAD DE MÉXICO, CDMX",IZTAPALAPA,SANTA MARTHA ACATITLA NORTE,PLATSOBSE_DGSUS_BALON_BARRIO_124_EL_COLISEO_124,2601,ACTIVO,,,,,,
194,194 PILARES TLALPEXCO,13.0,GRANDES_OBRAS,GRANDES OBRAS QUE TRANSFORMAN LA CAPITAL,EL BALON VUELVE AL BARRIO,BALON_BARRIO,DGCOP,OBRAS DEL MUNDIAL,2026,,,,,INAUGURADA,100.0,PAULA LOPEZ,MULTICANCHA,600.0,CONCRETO,,DGPEST,0101000020E61000006B9F8EC70CC858C07A8D5DA27A8B3340,https://maps.app.goo.gl/D7v5YoP5Ans2bzTBA,SAUCES LT. 5,GUSTAVO A. MADERO,TLALPEXCO,PLATSOBSE_DGCOP_BALON_BARRIO_194_PILARES_TLALPEXCO_194,2605,ACTIVO,,,,,,
92,92 PARQUE DE LOS VENADOS,13.0,GRANDES_OBRAS,GRANDES OBRAS QUE TRANSFORMAN LA CAPITAL,EL BALON VUELVE AL BARRIO,BALON_BARRIO,DGSUS,OBRAS DEL MUNDIAL,2026,2026-05-13 20:23:20.250,actualizacion_dgpest,2026-04-07,,INAUGURADA,100.0,PAULA LOPEZ,FUTBOL 7,1750.0,CONCRETO,,DGPEST,0101000020E61000003D2CD49AE6C958C0600322C4955F3340,https://maps.app.goo.gl/K4QtQk1LVMMDftnn9,"C. DR. JOSÉMARÍA VÉRTIZ 1336, PORTALES NTE, BENITO JUÁREZ, 03300 CIUDAD DE MÉXICO, CDMX",BENITO JUÁREZ,PORTALES NORTE,PLATSOBSE_DGSUS_BALON_BARRIO_92_PARQUE_DE_LOS_VENADOS_92,2650,ACTIVO,,,,,,
181,181 PILARES MARTIN CARRERA,13.0,GRANDES_OBRAS,GRANDES OBRAS QUE TRANSFORMAN LA CAPITAL,EL BALON VUELVE AL BARRIO,BALON_BARRIO,DGCOP,OBRAS DEL MUNDIAL,2026,2026-05-20 01:20:44.375,admin,2026-03-31,,INAUGURADA,100.0,PAULA LOPEZ,FUTBOL RAPIDO,1200.0,PASTO SINTETICO,,DGPEST,0101000020E6100000ECA353573EC758C0D63730B9517C3340,https://maps.app.goo.gl/1E9tLgzXb1BCpRP57,FRANCISCO ECHEVERRIA 315,GUSTAVO A. MADERO,MARTIN CARRERA,PLATSOBSE_DGCOP_BALON_BARRIO_181_PILARES_MARTIN_CARRERA_181,2604,ACTIVO,,,,,,
